item_id,canonical_topic,first_seen,last_seen,status,stage_s,editorial_e,production_p,new_evidence,next_check,review_by,rejection_reason,source_report,source_families,scene_status,upstream_gate,structural_question,question_gate,question_hypothesis
20260908-03,코레일·SR 통합 첫 추석 승차권 예매 접근성,2026-09-08,2026-09-10,보류,S0,E1,미판정,"2026-09-10 코레일·SR 원문 재확인: 통합회원 전환과 명절 전용 예매 운영은 확인됐으나 기존 SR 회원의 실패율·대기이탈·회원유형별 성공률은 공개되지 않아 절차 배제와 첫 시행 숙련 차이를 판정할 수 없음","회원 유형별 실패율·대기 이탈을 통합 전후와 비교해 절차 배제와 일시 혼선을 구분",2026-09-17,"반복성과 구조 원인을 확인하지 못해 질문 품질 PASS에 미달",scheduled-output/daily/runs/2026-09-10-0932.md,PUBLIC,취재 예정,HOLD,"회원 통합이 예매를 단순화한다는 목적과 달리 기존 SR 이용자의 첫 예매 기회를 줄였는가",HOLD,"절차 배제인지 일시적 숙련 차이인지 회원 유형별 성공률로 구분한다"
20260908-04,서울 가구 증가와 아파트 중심 주택 공급의 불일치,2026-09-08,2026-09-08,보류,S1,E3,미판정,"v1.4 질문 품질 12점: 인구는 줄지만 가구는 10.3% 늘고 주택보급률은 93.9%로 하락했으며 2024년 착공의 83.3%가 아파트·단독다가구는 2.7%임을 결합","가구원 수·주택 규모·점유형태·자치구별 준공과 멸실·월세·공실·전출 사유를 재집계",2026-09-12,"1인·소형 가구 증가와 소형 임대 순공급·월세·전출의 인과 연결은 아직 미확인",scheduled-output/daily/runs/2026-09-08-1509-v1.4-quality-test.md,PUBLIC|MEDIA|INDUSTRY,없음,HOLD,"인구 감소에도 늘어나는 1인·소형 가구가 필요한 주택보다 아파트 중심 공급이 이어져 더 높은 월세나 더 먼 주거지를 선택하게 하는가",PASS,"소형 임대 공급의 구조적 불일치인지 아파트 내 소형 재고와 통계 구성 효과인지 가구·주택 규모·공실·부담률로 구분한다"
20260908-05,서울 음식물쓰레기 처리비와 발생원 책임 분포,2026-09-08,2026-09-08,보류,S1,E2,미판정,"하루 약 2천톤과 처리비 2억4천만원을 확인하고 자치구·발생원별 데이터 경로를 확보","2025년 자치구별 가정·음식점·다량배출사업장 발생량과 처리비를 인구·사업체 수로 보정",2026-09-11,"2025년 발생원별 분포가 없어 시민 개인 중심 감량정책의 책임 배분을 판단할 수 없음",scheduled-output/daily/runs/2026-09-08-1012.md,PUBLIC,없음,HOLD,"음식물쓰레기 비용과 감량 책임은 실제 주요 발생원에 맞게 배분되는가",PASS,"배출과 처리비가 특정 자치구·사업장 유형에 집중됐는데 캠페인은 개인에게 책임을 돌리고 있는가"
20260908-06,365 서울챌린지 고립감 감소 효과의 표본 편향,2026-09-08,2026-09-08,보류,S1,E2,미판정,"약 9천명 참여자 중 3254명 응답에서 79.9%가 고립감 감소를 자기보고했고 응답률은 약 36.2%임을 확인","설문지·응답자 연령·자치구·기준 고립도·중도이탈과 비참여 비교집단을 확보",2026-09-11,"응답 선택과 보상 효과를 배제할 자료가 없어 정책 효과를 단정할 수 없음",scheduled-output/daily/runs/2026-09-08-1012.md,PUBLIC,당사자 진술,HOLD,"활동 참여자의 만족도가 실제 고립 위험군의 개선을 대표하는가",PASS,"79.9% 효과가 특정 응답층에 집중됐으며 미응답자·고위험군에서는 다르게 나타나는가"
20260908-07,중증장애인 24시간 의료돌봄 시범사업의 대상 범위,2026-09-08,2026-09-10,보류,S1,E3,미판정,"2026-09-10 서울시 원문 재확인: 영락애니아의집 31명·10월 인력 10명 증원은 확인됐으나 서울 전체 의료집중 필요 인구·시설별 수요·야간 응급이송·선정 기준은 공개되지 않아 범위의 적정성을 판정할 수 없음","서울 전체 의료집중 필요 장애인·거주시설·재가 인구와 야간 응급이송, 선정 기준을 확보",2026-09-17,"31명의 모수와 지역·시설별 미충족 수요가 없어 사업 범위의 적정성을 판단할 수 없음",scheduled-output/daily/runs/2026-09-10-0932.md,MEDIA|PUBLIC,간접 보도,HOLD,"첫 24시간 의료돌봄은 서울의 야간 의료 공백을 누구부터 얼마나 줄이는가",PASS,"사업 대상이 전체 필요 인구의 작은 일부이고 선정이 특정 시설·지역에 치우쳤는가"
20260908-08,서울 창업생태계 1천억달러 가치와 일자리의 지역·기업 집중,2026-09-08,2026-09-08,보류,S0,E2,미판정,"v1.4 질문 품질 7점: 가치와 고용의 괴리 가능성은 있으나 구체 시민 손실과 행동 변화가 약해 HOLD","기업별 평가액과 자치구별 직종·임금·고용 지속성을 연결해 구직자의 체감 손실을 확인",2026-09-15,"지역·기업 집중만으로 시민 손실을 설명하지 못해 질문 품질 PASS에 미달",scheduled-output/daily/runs/2026-09-08-1012.md,INDUSTRY|PUBLIC,없음,HOLD,"창업생태계 가치 상승이 소수 기업의 평가액을 넘어 시민이 체감할 안정적 일자리로 이어졌는가",HOLD,"평가액 집중인지 광범위한 고용 효과인지 기업·지역별 고용으로 구분한다"
20260908-09,서울 출생아 반등의 자치구·연령·정책 효과 분포,2026-09-08,2026-09-08,보류,S0,E2,미판정,"v1.4 질문 품질 6점: 정책 귀속 질문은 가능하지만 직접적인 시민 손실과 책임 선택이 불명확해 HOLD","자치구·산모연령·혼인코호트와 비교도시를 분석해 정책 노출 집단의 추가 효과를 확인",2026-09-15,"출생 증가의 구성 분석만으로 시민 이해관계가 선명하지 않음",scheduled-output/daily/runs/2026-09-08-1012.md,PUBLIC,없음,HOLD,"서울 출생아 반등은 정책의 독립 효과인가 혼인·연령 구조와 전국 공통 회복의 결과인가",HOLD,"정책 노출 효과인지 전국 공통 요인인지 비교도시·비노출 집단으로 구분한다"
20260908-10,서울 수도요금 장기체납의 생계형·고액 체납 분포,2026-09-08,2026-09-08,보류,S1,E2,미판정,"장기체납 8507건·55억원과 고액 904건, 분할납부·복지연계 및 단수·압류 절차를 확인","고액 904건의 금액 비중과 가정·사업용, 체납 기간, 단수·복지연계 결과를 확보",2026-09-12,"생계형 가구와 고액 사업자를 합친 총계만으로 단수 위험과 징수 책임을 판단할 수 없음",scheduled-output/daily/runs/2026-09-08-1012.md,PUBLIC,없음,HOLD,"장기체납 대응은 생계형 가구와 고액 상습 체납자를 구분해 작동하는가",PASS,"체납액은 소수 고액 체납에 집중됐는데 단수 위험과 행정 부담은 취약가구에 더 크게 돌아가는가"
20260908-11,서울 주택 가격지수와 실거래 중위가격의 방향 불일치,2026-09-08,2026-09-08,보류,S1,E2,미판정,"v1.4 질문 품질 10점: 지표 차이를 중저가 실수요자의 거래 기회 감소와 경쟁 가설로 재구성","국토부 실거래를 자치구·면적·가격대·계약일·신고일별로 재집계하고 동일 단지 반복매매와 비교",2026-09-12,"지수 표본과 실거래 구성·신고 지연을 통제하지 않아 실수요자 손실은 아직 가설",scheduled-output/daily/runs/2026-09-08-1318.md,PRICE|INDUSTRY,없음,HOLD,"서울 집값 상승이라는 평균 뒤에서 실수요자가 살 수 있는 중저가 주택의 거래 기회는 줄고 있는가",PASS,"특정 고가 주택 집중인지 신고 지연·표본 구성 효과인지 동일 단지와 가격대별 거래로 구분한다"
20260908-12,서울 자치구 구민안전보험 보장 격차,2026-09-08,2026-09-08,보류,S1,E3,미판정,"v1.4 질문 품질 11점: 동일 사고의 자비 부담과 재정·보험 설계 경쟁 가설 및 폐기 조건을 명시","동일 사고·연령·개인보험 상태로 25개 자치구 보장을 표준화하고 보험료·청구·지급률을 확보",2026-09-11,"가입 조건과 사고 유형을 표준화한 실제 실수령액 격차는 아직 미확인",scheduled-output/daily/runs/2026-09-08-1318.md,PUBLIC,없음,HOLD,"같은 사고를 당한 서울 시민이 거주 자치구 때문에 치료비를 더 부담하는가",PASS,"불가피한 재정 차이인지 회피 가능한 보험 설계 차이인지 실수령액·청구·지급률로 구분한다"
20260908-13,야간·불규칙 노동자 방문돌봄 지원의 이용 격차,2026-09-08,2026-09-08,보류,S0,E2,미판정,"v1.4 질문 품질 10점: 제도 목적과 실제 이용자의 역설, 노동자의 근무 포기 손실, 대안 가설을 명시","결과 발표 뒤 직종·근무시간·자치구별 신청·탈락·실제 이용·중도포기와 제공 가능 시간을 확보",2026-10-02,"모집 단계라 실제 수요 대비 선정·이용·탈락의 분포가 없음",scheduled-output/daily/runs/2026-09-08-1318.md,PUBLIC,취재 예정,HOLD,"야간 노동자를 위한 돌봄 지원이 표준 신청·예약 시간을 지킬 수 있는 노동자에게 더 많이 돌아가는가",PASS,"시간·지역 조건의 배제인지 수요 충족인지 직종별 신청·선정·이용률로 구분한다"
20260908-14,서울 지역중심별 주간생활인구 회복 격차와 생활상권,2026-09-08,2026-09-08,보류,S1,E3,미판정,"2019년 대비 동대문 지역중심 주간생활인구는 28.4%·망우는 23.7% 감소한 반면 연신내불광은 13.1%·성수는 5.1% 증가","같은 공간 단위의 시간대·목적별 생활인구와 카드매출·업종별 개폐업률·임대료·필수서비스를 결합",2026-09-13,"생활인구 감소가 실제 매출·폐업·생활서비스 손실로 이어졌는지 미확인",scheduled-output/daily/runs/2026-09-08-1509-v1.4-quality-test.md,PUBLIC|INDUSTRY,없음,HOLD,"서울 중심지의 평균적 회복 뒤에서 일부 지역중심은 수요를 잃고 고정비를 부담하는 생활상권으로 남고 있는가",PASS,"실제 거점 재편인지 기준점·경계·휴대전화 추정 방식의 효과인지 매출·임대료·개폐업과 결합해 구분한다"
20260908-15,기술창업 증가와 서울 생활서비스 창업 감소의 괴리,2026-09-08,2026-09-08,보류,S1,E2,미판정,"2026년 상반기 기술창업은 14.2% 증가했지만 전체 창업은 1.5% 감소했고 도소매·운수창고·개인서비스는 각각 10.7%·5.8%·3.8% 감소","서울 자치구·업종·대표자 연령별 신규·폐업·생존율과 생활인구·서비스 접근성을 확보하고 재등록을 제외",2026-09-15,"2026년 서울 분해값과 주민의 서비스·고용 손실이 미확인",scheduled-output/daily/runs/2026-09-08-1509-v1.4-quality-test.md,PUBLIC|INDUSTRY,없음,HOLD,"기술창업 증가라는 회복 신호가 서울 동네의 생활서비스 창업 감소와 대체 없는 폐업을 가리고 있는가",PASS,"자본·인력의 업종 이동인지 분류·재등록·기저효과인지 서울 자치구·업종별 순증감으로 구분한다"
20260908-16,장기전세 자가 마련 성과의 표본·분모와 만기 퇴거 이후 주거,2026-09-08,2026-09-09,보류,S1,E3,미판정,"2026-09-09 원문·검색 재확인: 기존 1,708가구·72% 수치 외 전체 입주·조기/만기 퇴거를 연결한 코호트표와 미마련 퇴거자의 점유형태는 공개 확인 실패","SH·서울시에 1,708가구 표본 설계와 전체 입주·퇴거 코호트, 미마련 퇴거자 점유형태를 요청하고 공개자료 갱신 시 재확인",2026-09-12,"전체 입주자 기준 자가 전환율과 자가 미마련 퇴거자의 이동처가 미확인",scheduled-output/daily/runs/2026-09-09-0932.md,PUBLIC|MEDIA|VOICE,간접 보도,HOLD,"장기전세 퇴거자 72% 자가 마련은 전체 입주자의 주거사다리 성과인가 자가 마련 뒤 먼저 나간 가구만 본 선택 효과인가",PASS,"선택 편향이면 전체 코호트 전환율이 낮고 미마련 퇴거가 고월세·외곽 이동에 집중되며 아니면 전체 코호트에서도 성과가 유지된다"
20260908-17,서울 중장년 채용박람회 계획 채용과 실제 취업·근속의 격차,2026-09-08,2026-09-09,보류,S1,E2,미판정,"2026-09-09 50플러스 원문 재확인: 남부권 행사는 9/8 13~17시·20여 기업 참여로 확인됐으나 종료 뒤 실제 취업·고용보험·근속 결과는 공개되지 않음","참가기업 20~30곳의 공고·충원 상태를 표본 확인하고 재단에 행사별 실제 취업·고용보험 가입·3개월 근속 집계를 요청",2026-09-12,"채용 규모가 계획인지 실제 채용인지와 행사별 근속 성과가 미확인",scheduled-output/daily/runs/2026-09-09-0932.md,PUBLIC|FIELD,간접 보도,HOLD,"서울 중장년 채용박람회의 3천 명 채용 규모는 계획 인원인가 실제 고용보험 가입과 3개월 근속으로 이어진 일자리인가",PASS,"홍보성 계획치이면 실제 취업·근속 퍼널에서 큰 이탈이 나타나고 실질 성과이면 행사별 가입·근속률이 계획치에 근접한다"
20260908-18,킥보드 없는 거리의 경계 밖 방치·위험 전가,2026-09-08,2026-09-09,보류,S1,E2,미판정,"2026-09-09 데이터·원문 재검색: 진입금지 구역 이미지·일반 자료만 확인됐고 홍대·반포 경계 안팎 견인 좌표 또는 동일 시간대 방치·민원 자료는 공개 확인 실패","서울시·자치구에 견인 좌표와 민원·순찰 범위를 요청하고, 금지선 안·0~100m·100~300m 동일 시간대 현장 계수로 재확인",2026-09-12,"금지구역 내부 감소가 인접 골목·역 출구 증가로 전가됐는지 미확인",scheduled-output/daily/runs/2026-09-09-0932.md,PUBLIC|BEHAVIOR|FIELD,취재 예정,HOLD,"킥보드 없는 거리의 방치 감소는 전체 보행 안전 개선인가 금지선 밖 골목과 역 출구로 기기가 옮겨간 결과인가",PASS,"풍선효과이면 구역 안 감소와 경계 밖 방치·민원 증가가 동반되고 정책효과이면 인접 증가 없이 전체 위험이 줄어든다"

